,officialnamestate,Month,Weather Measure,Value
94,New South Wales,11,Rain,32.71516784184431
95,New South Wales,12,Rain,23.569633563143142
96,Queensland,1,Rain,46.89758257474425
97,Queensland,2,Rain,45.30680194412344
98,Queensland,3,Rain,44.3645187894627
99,Queensland,4,Rain,30.10046919462464
100,Queensland,5,Rain,23.883427689718623
101,Queensland,6,Rain,16.6336734086092
102,Queensland,7,Rain,19.04738149285899
103,Queensland,8,Rain,12.953154148714656
104,Queensland,9,Rain,17.20637970193396
105,Queensland,10,Rain,24.00757468060243
106,Queensland,11,Rain,29.65422012225312
107,Queensland,12,Rain,40.70158773912116
108,South Australia,1,Rain,4.2176023617972485
109,South Australia,2,Rain,3.8235001761319527
110,South Australia,3,Rain,3.105817233282992
111,South Australia,4,Rain,8.515491237815358
112,South Australia,5,Rain,10.33520938556894
113,South Australia,6,Rain,10.633927266509808
114,South Australia,7,Rain,10.703097386643671
115,South Australia,8,Rain,12.491891636102046
116,South Australia,9,Rain,11.15492726230388
117,South Australia,10,Rain,8.424110508316428
118,South Australia,11,Rain,6.821516506181075
119,South Australia,12,Rain,5.020618321713969
120,Tasmania,1,Rain,2.689390275396862
121,Tasmania,2,Rain,2.694119395648098
122,Tasmania,3,Rain,3.560027134850119
123,Tasmania,4,Rain,5.689538375742878
124,Tasmania,5,Rain,8.023346168517515
125,Tasmania,6,Rain,7.522423110208082
126,Tasmania,7,Rain,8.683575055056759
127,Tasmania,8,Rain,9.47453020083518
128,Tasmania,9,Rain,8.249811814619939
129,Tasmania,10,Rain,7.331747412740532
130,Tasmania,11,Rain,5.160573644946158
131,Tasmania,12,Rain,3.873348125570281
132,Territories,1,Rain,13.16813671838632
133,Territories,2,Rain,11.631713360966565
134,Territories,3,Rain,8.427117593243032
135,Territories,4,Rain,6.592802855755604
136,Territories,5,Rain,2.031535721708939
137,Territories,6,Rain,1.0651624428483992
138,Territories,7,Rain,0.8658966015303892
139,Territories,8,Rain,0.5627283488133358
140,Territories,9,Rain,1.7798803683840223
141,Territories,10,Rain,3.066112265804554
142,Territories,11,Rain,6.098384562783853
143,Territories,12,Rain,12.271402231505144
144,Victoria,1,Rain,6.380389729468107
145,Victoria,2,Rain,6.039536942563655
146,Victoria,3,Rain,6.480052431436024
147,Victoria,4,Rain,13.242332382889932
148,Victoria,5,Rain,15.429409971677345
149,Victoria,6,Rain,15.968097050335675
150,Victoria,7,Rain,15.712968422530995
151,Victoria,8,Rain,18.95324827582408
152,Victoria,9,Rain,18.655197910044443
153,Victoria,10,Rain,16.340276795723476
154,Victoria,11,Rain,12.826403389892263
155,Victoria,12,Rain,8.638671166881025
156,Western Australia,1,Rain,7.8778984730023
157,Western Australia,2,Rain,7.972276876020963
158,Western Australia,3,Rain,8.286444512139916
159,Western Australia,4,Rain,10.013628337184908
160,Western Australia,5,Rain,16.23765087150724
161,Western Australia,6,Rain,17.776321004774168
162,Western Australia,7,Rain,20.43352991942026
163,Western Australia,8,Rain,18.84010818968016
164,Western Australia,9,Rain,12.261672533515998
165,Western Australia,10,Rain,8.380225855723781
166,Western Australia,11,Rain,6.72373393209923
167,Western Australia,12,Rain,5.924738852065283
